-ilities|developmental, operational, and support requirements a program addresses (ISO/IEC/IEEE 24765l:2024)|
OSS|open source software (IEEE 2675-2021, IEEE Standard for DevOps: Building Reliable and Secure Systems Including Application Build, Package, and Deployment, 3.2)|
OT|operational test|ISO/IEC/IEEE 24748-8:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.2
OTE|operational test and evaluation (ISO/IEC/IEEE 24748-8:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.2)|
OTP|one-time password|ISO/IEC/IEEE 23026:2023 Systems and software engineering--Engineering and management of websites for systems, software, and services information, 3.2
OTRR|operational test readiness review|ISO/IEC/IEEE 24748-8:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.2
OTS|off the shelf|ISO/IEC/IEEE 41062:2024, Software engineering Life cycle processes Software acquisition, 3.1.12
outcome|significant change of state or the meeting of specified constraints. e.g., requirements or goals.|ISO/IEC/IEEE 24765l:2024
outcome|end result or consequence of a process or project (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
outer cardinality|number of allowed instances of a participating data object from the viewpoint of the other participants in the relationship (ISO/IEC 15476-4:2005 Information technology--CDIF semantic metamodel--Part 4: Data models, 6.6.1)|
output|product, result, or service generated by a process|ISO/IEC/IEEE 24774:2021, Systems and software engineering--Life cycle management--Specification for process description, 3.6
output|process by which an information processing system, or any of its parts, transfers data outside of that system or part (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
output arc (of a transition)|arc directed from the transition to a place|ISO/IEC 15909-1:2019 Systems and software engineering--High-level Petri nets--Part 1: Concepts, definitions and graphical notation, 3.22
output argument|an argument that has not been specified as an input argument (ISO/IEC/IEEE 24765n:2025, 3.1.136)|
output assertion|logical expression specifying one or more conditions that program outputs satisfy in order for the program to be correct (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
output place (of a transition)|place connected to the transition by an output arc|ISO/IEC 15909-1:2019 Systems and software engineering--High-level Petri nets--Part 1: Concepts, definitions and graphical notation, 3.23
output primitive|primitive that includes source statements, function points, and documents (ISO/IEC/IEEE|
outsider's viewpoint|perspective of a potential acquirer who does not own either an existing system nor its proposed replacement, and who evaluates the alternatives of buying the existing system at its salvage value or buying a replacement candidate system (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
outsource|make an arrangement in which an external organization performs part of an organization's function or process|ISO/IEC 19770-1:2017 Information technology -- IT asset management -- Part 1: IT asset management systems- -Requirements, 3.41
overfitting|generation of a machine learning model that corresponds too closely to the training data, resulting in a model that finds it difficult to generalize to new data|ISO/IEC TR 29119-11:2020, Software and systems engineering-- Software testing--Part 11: Guidelines on the testing of AI-based systems, 3.1.51
overflow exception|exception that occurs when the result of an arithmetic operation exceeds the size of the storage location designated to receive it (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
overhead time|amount of time a computer system spends performing tasks that do not contribute directly to the progress of any user task|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
overlay|storage allocation technique in which computer program segments are loaded from auxiliary storage to main storage when needed, overwriting other segments not currently in use|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
overlay|computer program segment that is maintained in auxiliary storage and loaded into main storage when needed, overwriting other segments not currently in use|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
overlay|to load a computer program segment from auxiliary storage to main storage in such a way that other segments of the program are overwritten|ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary
overlay supervisor|routine that controls the sequencing and positioning of overlays|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
overload|to assign an operator, identifier, or literal more than one meaning, depending upon the data types associated with it at any given time during program execution|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
override|the ability of a property in a subclass to respecify the realization of an inherited property of the same name while retaining the same meaning|ISO/IEC/IEEE 24765n:2025, 3.1.137
overriding property|property in a subclass that has the same meaning and signature as a similarly named property in one of its superclasses, but has a different realization|ISO/IEC/IEEE 24765n:2025, 3.1.138
OVM|orthogonal variability model|ISO/IEC 26559:2017 Software and systems engineering -- Methods and tools for variability traceability in software and systems product line, 4
owned attribute|attribute of an entity that has not migrated into the entity (ISO/IEC/IEEE 24765n:2025, 3.1.139)|
owner|person or organization that owns the copyright for the Candidate FSM method (ISO/IEC 14143-2:2011|
owner of the FSM method|the person or organization that owns the intellectual property rights for the FSM method|ISO/IEC TR 14143-3:2003 Information technology -- Software measurement -- Functional size measurement -- Part 3: Verification of functional size measurement methods, 3.7
P&D|production and deployment (ISO/IEC/IEEE 24748-7:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.2)|
P&P|policies and procedures (ISO/IEC/IEEE 24765k:2022)|
